fecha,guia,valor_servicio,producto,ciudad,recaudo,estado,transportadora,seguro
2026-09-11,240061093893,25481.04,impermeable,MUTATA,85000,Creado,interrapidisimo,3482
2026-09-11,240061093894,33863.18,impermeable,SAN ROQUE,135000,Creado,interrapidisimo,4615
2026-09-11,240061093882,34449.95,impermeable,SAN ALBERTO,143000,Creado,interrapidisimo,4692
2026-09-11,240061093092,25481.04,impermeable,QUIBDO,85000,Creado,interrapidisimo,3482
2026-09-11,240061093094,25481.04,impermeable,SAN MARTIN,85000,Creado,interrapidisimo,3482
2026-09-11,240061093095,25481.04,impermeable,SAN ANDRES DE TUMACO,85000,Creado,interrapidisimo,3482
2026-09-11,240061093085,25481.04,impermeable,GINEBRA,85000,Creado,interrapidisimo,3482
2026-09-11,240061093086,25481.04,impermeable,SAN BENITO ABAD,85000,Creado,interrapidisimo,3482
2026-09-11,240061093087,22878.42,impermeable,PUERTO TEJADA,81000,Creado,interrapidisimo,3124
2026-09-11,240061093088,25481.04,impermeable,MEDINA,85000,Creado,interrapidisimo,3482
2026-09-11,64532762537,20895.39,impermeable,BARRANQUILLA,81000,Recoleccion programada,coordinadora,2849
2026-09-11,64532762538,28260.69,impermeable,VILLAVICENCIO,136000,Recoleccion programada,coordinadora,3839
2026-09-11,64532762535,28400.16,impermeable,MONTERIA,138000,Recoleccion programada,coordinadora,3857
2026-09-11,64532762534,11999.98,impermeable,BOGOTA,73000,Recoleccion programada,coordinadora,1622
2026-09-11,64532762532,20895.39,impermeable,CARTAGENA DE INDIAS,81000,Recoleccion programada,coordinadora,2849
2026-09-10,240061027066,35605.31,impermeable,EL BAGRE,143000,Transito urbano informado Whatsapp,interrapidisimo,4852
2026-09-10,240061025746,23171.31,Conjunto tradicional 4 piezas,CHACHAGUI,85000,Transito urbano informado Whatsapp,interrapidisimo,3162
2026-09-10,240061025744,35123.24,Conjunto tradicional 4 piezas,SAN DIEGO,143000,Transito urbano informado Whatsapp,interrapidisimo,4785
2026-09-10,64532761837,20895.39,impermeable,BARRANQUILLA,81000,Transito urbano informado Whatsapp,coordinadora,2849
2026-09-10,64532761757,20825.65,Conjunto tradicional 4 piezas,NEIVA,80000,Transito urbano informado Whatsapp,coordinadora,2840
2026-09-10,64532761758,21175.33,Conjunto tradicional 4 piezas,CIENAGA,85000,Transito urbano informado Whatsapp,coordinadora,2886
2026-09-10,64532761756,21175.33,Conjunto tradicional 4 piezas,LA CEJA,85000,Transito urbano informado Whatsapp,coordinadora,2886
2026-09-10,64532761754,20895.39,Conjunto tradicional 4 piezas,SINCELEJO,81000,Transito urbano informado Whatsapp,coordinadora,2849
2026-09-10,64532761753,28400.16,Conjunto tradicional 4 piezas,SANTA MARTA,138000,Transito urbano informado Whatsapp,coordinadora,3857
2026-09-10,64532761755,28400.16,Conjunto tradicional 4 piezas,NEIVA,138000,Transito urbano informado Whatsapp,coordinadora,3857
2026-09-10,64532761752,20895.39,Conjunto tradicional 4 piezas,CARTAGENA DE INDIAS,81000,Transito urbano informado Whatsapp,coordinadora,2849
2026-09-10,64532761751,20895.39,Conjunto tradicional 4 piezas,BELLO,81000,Transito urbano informado Whatsapp,coordinadora,2849
2026-09-09,240060949377,12956.14,Conjunto tradicional 4 piezas,BOGOTA,73000,Entregada,interrapidisimo,1754
2026-09-09,240060949376,20647.14,Conjunto tradicional 4 piezas,BOGOTA,128000,Admitida,interrapidisimo,2789
2026-09-09,240060949379,20647.14,Conjunto tradicional 4 piezas,BOGOTA,128000,Admitida,interrapidisimo,2789
2026-09-09,240060949373,25481.04,Conjunto tradicional 4 piezas,SAHAGUN,85000,Admitida,interrapidisimo,3482
2026-09-09,240060949372,12956.14,Conjunto tradicional 4 piezas,BOGOTA,73000,Admitida,interrapidisimo,1754
2026-09-09,240060949375,22878.42,Conjunto tradicional 4 piezas,BELLO,81000,Admitida,interrapidisimo,3124
2026-09-08,240060860795,12956.14,Conjunto tradicional 4 piezas,BOGOTA,73000,Intento de entrega,interrapidisimo,1754
2026-09-08,240060860785,12956.14,Conjunto tradicional 4 piezas,SOACHA,73000,Entregada,interrapidisimo,1754
2026-09-08,240060860787,34083.34,Conjunto tradicional 4 piezas,BARRANCABERMEJA,138000,Entregada,interrapidisimo,4644
2026-09-08,240060860788,22878.42,Conjunto tradicional 4 piezas,BARRANQUILLA,81000,Reparto,interrapidisimo,3124
2026-09-08,240060860773,25481.04,Conjunto tradicional 4 piezas,FRONTINO,85000,Reclame en oficina,interrapidisimo,3482
